Date,KOSEF 미국달러선물인버스
2017-10-30,11075.0
2017-10-31,11120.0
2017-11-01,11180.0
2017-11-02,11185.0
2017-11-03,11185.0
2017-11-06,11175.0
2017-11-07,11205.0
2017-11-08,11175.0
2017-11-09,11165.0
2017-11-10,11160.0
2017-11-13,11125.0
2017-11-14,11150.0
2017-11-15,11200.0
2017-11-16,11330.0
2017-11-17,11345.0
2017-11-20,11320.0
2017-11-21,11370.0
2017-11-22,11435.0
2017-11-23,11480.0
2017-11-24,11485.0
2017-11-27,11455.0
2017-11-28,11485.0
2017-11-29,11570.0
2017-11-30,11460.0
2017-12-01,11480.0
2017-12-04,11450.0
2017-12-05,11480.0
2017-12-06,11400.0
2017-12-07,11410.0
2017-12-08,11400.0
2017-12-11,11410.0
2017-12-12,11410.0
2017-12-13,11430.0
2017-12-14,11455.0
2017-12-15,11450.0
2017-12-18,11445.0
2017-12-19,11485.0
2017-12-20,11530.0
2017-12-21,11525.0
2017-12-22,11545.0
2017-12-26,11585.0
2017-12-27,11610.0
2017-12-28,11650.0
2018-01-02,11735.0
2018-01-03,11700.0
2018-01-04,11735.0
2018-01-05,11720.0
2018-01-08,11675.0
2018-01-09,11675.0
2018-01-10,11630.0
2018-01-11,11620.0
2018-01-12,11700.0
2018-01-15,11725.0
2018-01-16,11720.0
2018-01-17,11660.0
2018-01-18,11650.0
2018-01-19,11685.0
2018-01-22,11645.0
2018-01-23,11635.0
2018-01-24,11655.0
2018-01-25,11760.0
2018-01-26,11695.0
2018-01-29,11685.0
2018-01-30,11600.0
2018-01-31,11655.0
2018-02-01,11615.0
2018-02-02,11520.0
2018-02-05,11435.0
2018-02-06,11425.0
2018-02-07,11450.0
2018-02-08,11445.0
2018-02-09,11400.0
2018-02-12,11475.0
2018-02-13,11480.0
2018-02-14,11560.0
2018-02-19,11650.0
2018-02-20,11590.0
2018-02-21,11560.0
2018-02-22,11485.0
2018-02-23,11535.0
2018-02-26,11590.0
2018-02-27,11600.0
2018-02-28,11475.0
2018-03-02,11505.0
2018-03-05,11490.0
2018-03-06,11555.0
2018-03-07,11630.0
2018-03-08,11640.0
2018-03-09,11625.0
2018-03-12,11680.0
2018-03-13,11655.0
2018-03-14,11675.0
2018-03-15,11665.0
2018-03-16,11660.0
2018-03-19,11605.0
2018-03-20,11630.0
2018-03-21,11605.0
2018-03-22,11600.0
2018-03-23,11500.0
2018-03-26,11520.0
2018-03-27,11625.0
2018-03-28,11620.0
2018-03-29,11655.0
2018-03-30,11685.0
2018-04-02,11750.0
2018-04-03,11785.0
2018-04-04,11725.0
2018-04-05,11725.0
2018-04-06,11625.0
2018-04-09,11645.0
2018-04-10,11650.0
2018-04-11,11655.0
2018-04-12,11615.0
2018-04-13,11610.0
2018-04-16,11565.0
2018-04-17,11640.0
2018-04-18,11625.0
2018-04-19,11705.0
2018-04-20,11640.0
2018-04-23,11620.0
2018-04-24,11535.0
2018-04-25,11490.0
2018-04-26,11485.0
2018-04-27,11535.0
2018-04-30,11630.0
2018-05-02,11535.0
2018-05-03,11530.0
2018-05-04,11520.0
2018-05-08,11540.0
2018-05-09,11485.0
2018-05-10,11565.0
2018-05-11,11605.0
2018-05-14,11630.0
2018-05-15,11565.0
2018-05-16,11515.0
2018-05-17,11475.0
2018-05-18,11510.0
2018-05-21,11440.0
2018-05-23,11490.0
2018-05-24,11495.0
2018-05-25,11515.0
2018-05-28,11560.0
2018-05-29,11530.0
2018-05-30,11485.0
2018-05-31,11525.0
2018-06-01,11535.0
2018-06-04,11570.0
2018-06-05,11590.0
2018-06-07,11610.0
2018-06-08,11530.0
2018-06-11,11545.0
2018-06-12,11520.0
2018-06-14,11460.0
2018-06-15,11300.0
2018-06-18,11225.0
2018-06-19,11175.0
2018-06-20,11215.0
2018-06-21,11150.0
2018-06-22,11185.0
2018-06-25,11075.0
2018-06-26,11115.0
2018-06-27,11070.0
2018-06-28,11020.0
2018-06-29,11110.0
2018-07-02,11055.0
2018-07-03,11035.0
2018-07-04,11105.0
2018-07-05,11050.0
2018-07-06,11075.0
2018-07-09,11145.0
2018-07-10,11095.0
2018-07-11,11030.0
2018-07-12,10985.0
2018-07-13,11020.0
2018-07-16,10970.0
2018-07-17,11010.0
2018-07-18,10930.0
2018-07-19,10925.0
2018-07-20,10910.0
2018-07-23,10950.0
2018-07-24,10900.0
2018-07-25,10995.0
2018-07-26,11030.0
2018-07-27,11085.0
2018-07-30,11050.0
