Date,KINDEX 중국본토CSI300
2018-06-20,21160.0
2018-06-21,20925.0
2018-06-22,20805.0
2018-06-25,20810.0
2018-06-26,20390.0
2018-06-27,19890.0
2018-06-28,19815.0
2018-06-29,20000.0
2018-07-02,19550.0
2018-07-03,19370.0
2018-07-04,19325.0
2018-07-05,19145.0
2018-07-06,19335.0
2018-07-09,19730.0
2018-07-10,19950.0
2018-07-11,19480.0
2018-07-12,19900.0
2018-07-13,20125.0
2018-07-16,20020.0
2018-07-17,19835.0
2018-07-18,19800.0
2018-07-19,19665.0
2018-07-20,20000.0
2018-07-23,20135.0
2018-07-24,20395.0
2018-07-25,20425.0
2018-07-26,20230.0
2018-07-27,19985.0
2018-07-30,19905.0
2018-07-31,19975.0
2018-08-01,19805.0
2018-08-02,19150.0
2018-08-03,19085.0
2018-08-06,18780.0
2018-08-07,19040.0
2018-08-08,18885.0
2018-08-09,19230.0
2018-08-10,19345.0
2018-08-13,19120.0
2018-08-14,18990.0
2018-08-16,18565.0
2018-08-17,18375.0
2018-08-20,18270.0
2018-08-21,18680.0
2018-08-22,18750.0
2018-08-23,18770.0
2018-08-24,18825.0
2018-08-27,19175.0
2018-08-28,19230.0
2018-08-29,19200.0
2018-08-30,19030.0
2018-08-31,18780.0
2018-09-03,18765.0
2018-09-04,18980.0
2018-09-05,18820.0
2018-09-06,18615.0
2018-09-07,18590.0
2018-09-10,18435.0
2018-09-11,18275.0
2018-09-12,18070.0
2018-09-13,18260.0
2018-09-14,18475.0
2018-09-17,18200.0
2018-09-18,18440.0
2018-09-19,18890.0
2018-09-20,18825.0
2018-09-21,19220.0
2018-09-27,19195.0
