Date,파워 코스피100
2017-04-26,22240.0
2017-04-27,21925.0
2017-04-28,21985.0
2017-05-02,22095.0
2017-05-04,22320.0
2017-05-08,22895.0
2017-05-10,22660.0
2017-05-11,22950.0
2017-05-12,22895.0
2017-05-15,22910.0
2017-05-16,22950.0
2017-05-17,22985.0
2017-05-18,22915.0
2017-05-19,22875.0
2017-05-22,22990.0
2017-05-23,23065.0
2017-05-24,23110.0
2017-05-25,23315.0
2017-05-26,23450.0
2017-05-29,23420.0
2017-05-30,23275.0
2017-05-31,23320.0
2017-06-01,23300.0
2017-06-02,23535.0
2017-06-05,23540.0
2017-06-07,23445.0
2017-06-08,23495.0
2017-06-09,23670.0
2017-06-12,23415.0
2017-06-13,23510.0
2017-06-14,23495.0
2017-06-15,23480.0
2017-06-16,23435.0
2017-06-19,23570.0
2017-06-20,23700.0
2017-06-21,23600.0
2017-06-22,23695.0
2017-06-23,23755.0
2017-06-26,23835.0
2017-06-27,23960.0
2017-06-28,23890.0
2017-06-29,24050.0
2017-06-30,23995.0
2017-07-03,23955.0
2017-07-04,23825.0
2017-07-05,23950.0
2017-07-06,23970.0
2017-07-07,23910.0
2017-07-10,23970.0
2017-07-11,24090.0
2017-07-12,24120.0
2017-07-13,24380.0
2017-07-14,24400.0
2017-07-17,24525.0
2017-07-18,24550.0
2017-07-19,24570.0
2017-07-20,24630.0
2017-07-21,24805.0
2017-07-24,24790.0
2017-07-25,24695.0
2017-07-26,24530.0
2017-07-27,24585.0
2017-07-28,24205.0
2017-07-31,24205.0
2017-08-01,24350.0
2017-08-02,24385.0
2017-08-03,23965.0
2017-08-04,24120.0
2017-08-07,24155.0
2017-08-08,24100.0
2017-08-09,23795.0
2017-08-10,23640.0
2017-08-11,23165.0
2017-08-14,23385.0
2017-08-16,23530.0
2017-08-17,23710.0
2017-08-18,23680.0
2017-08-21,23715.0
2017-08-22,23745.0
2017-08-23,23760.0
2017-08-24,23870.0
2017-08-25,23915.0
2017-08-28,23825.0
2017-08-29,23655.0
2017-08-30,23750.0
2017-08-31,23715.0
2017-09-01,23660.0
2017-09-04,23425.0
2017-09-05,23340.0
2017-09-06,23295.0
2017-09-07,23670.0
2017-09-08,23680.0
2017-09-11,23880.0
2017-09-12,23915.0
2017-09-13,23945.0
2017-09-14,23955.0
2017-09-15,24000.0
2017-09-18,24570.0
2017-09-19,24560.0
2017-09-20,24555.0
2017-09-21,24565.0
2017-09-22,24425.0
2017-09-25,24425.0
2017-09-26,24310.0
2017-09-27,24200.0
2017-09-28,24340.0
2017-09-29,24465.0
2017-10-10,24935.0
2017-10-11,25190.0
2017-10-12,25300.0
2017-10-13,25315.0
2017-10-16,25335.0
