Date,파워 중기국고채
2017-06-21,100695.0
2017-06-22,100745.0
2017-06-23,100730.0
2017-06-26,100695.0
2017-06-27,100695.0
2017-06-28,100655.0
2017-06-29,100655.0
2017-06-30,100655.0
2017-07-03,100645.0
2017-07-04,100585.0
2017-07-05,100565.0
2017-07-06,100565.0
2017-07-07,100480.0
2017-07-10,100465.0
2017-07-11,100500.0
2017-07-12,100515.0
2017-07-13,100580.0
2017-07-14,100580.0
2017-07-17,100580.0
2017-07-18,100590.0
2017-07-19,100590.0
2017-07-20,100615.0
2017-07-21,100755.0
2017-07-24,100755.0
2017-07-25,100755.0
2017-07-26,100725.0
2017-07-27,100740.0
2017-07-28,100740.0
2017-07-31,100770.0
2017-08-01,100710.0
2017-08-02,100710.0
2017-08-03,100740.0
2017-08-04,100740.0
2017-08-07,100700.0
2017-08-08,100640.0
2017-08-09,100545.0
2017-08-10,100545.0
2017-08-11,100570.0
2017-08-14,100570.0
2017-08-16,100570.0
2017-08-17,100645.0
2017-08-18,100645.0
2017-08-21,100610.0
2017-08-22,100645.0
2017-08-23,100645.0
2017-08-24,100645.0
2017-08-25,100710.0
2017-08-28,100710.0
2017-08-29,100710.0
2017-08-30,100730.0
2017-08-31,100790.0
2017-09-01,100815.0
2017-09-04,100735.0
2017-09-05,100735.0
2017-09-06,100735.0
2017-09-07,100585.0
2017-09-08,100640.0
2017-09-11,100645.0
2017-09-12,100685.0
2017-09-13,100685.0
2017-09-14,100700.0
2017-09-15,100685.0
2017-09-18,100690.0
2017-09-19,100670.0
2017-09-20,100580.0
2017-09-21,100580.0
2017-09-22,100620.0
2017-09-25,100620.0
2017-09-26,100585.0
2017-09-27,100450.0
2017-09-28,100445.0
2017-09-29,100480.0
2017-10-10,100400.0
2017-10-11,100400.0
2017-10-12,100430.0
2017-10-13,100430.0
2017-10-16,100430.0
2017-10-17,100425.0
2017-10-18,100425.0
2017-10-19,100060.0
2017-10-20,100060.0
2017-10-23,100095.0
2017-10-24,100095.0
2017-10-25,100040.0
2017-10-26,99865.0
2017-10-27,99865.0
2017-10-30,99870.0
2017-10-31,99935.0
2017-11-01,99885.0
2017-11-02,99965.0
2017-11-03,99965.0
2017-11-06,99965.0
2017-11-07,99980.0
2017-11-08,99980.0
2017-11-09,99980.0
2017-11-10,99985.0
2017-11-13,99985.0
2017-11-14,99940.0
2017-11-15,99940.0
2017-11-16,99960.0
2017-11-17,99960.0
2017-11-20,99995.0
2017-11-21,100020.0
2017-11-22,100020.0
2017-11-23,100090.0
2017-11-24,100090.0
2017-11-27,100045.0
2017-11-28,100145.0
2017-11-29,100155.0
2017-11-30,100320.0
2017-12-01,100260.0
2017-12-04,100280.0
2017-12-05,100280.0
2017-12-06,100280.0
2017-12-07,100330.0
2017-12-08,100330.0
2017-12-11,100330.0
2017-12-12,100330.0
2017-12-13,100395.0
2017-12-14,100395.0
2017-12-15,100325.0
2017-12-18,100325.0
2017-12-19,100325.0
2017-12-20,100365.0
2017-12-21,100300.0
2017-12-22,100285.0
2017-12-26,100250.0
2017-12-27,100250.0
2017-12-28,100300.0
2018-01-02,100300.0
2018-01-03,100300.0
2018-01-04,100300.0
2018-01-05,100360.0
2018-01-08,100340.0
2018-01-09,100315.0
2018-01-10,100185.0
2018-01-11,100235.0
2018-01-12,100235.0
2018-01-15,100110.0
2018-01-16,100110.0
2018-01-17,100110.0
2018-01-18,100130.0
2018-01-19,100140.0
2018-01-22,100185.0
2018-01-23,100185.0
2018-01-24,100195.0
2018-01-25,100195.0
2018-01-26,100220.0
2018-01-29,100070.0
2018-01-30,99990.0
2018-01-31,100040.0
2018-02-01,100085.0
2018-02-02,100085.0
2018-02-05,100085.0
2018-02-06,100115.0
2018-02-07,100130.0
2018-02-08,100130.0
2018-02-09,100155.0
2018-02-12,100140.0
2018-02-13,100160.0
2018-02-14,100210.0
2018-02-19,100175.0
2018-02-20,100175.0
2018-02-21,100180.0
2018-02-22,100180.0
2018-02-23,100210.0
2018-02-26,100295.0
2018-02-27,100300.0
2018-02-28,100340.0
2018-03-02,100335.0
2018-03-05,100295.0
2018-03-06,100295.0
2018-03-07,100015.0
2018-03-08,100015.0
2018-03-09,100015.0
2018-03-12,99990.0
2018-03-13,100000.0
2018-03-14,100070.0
2018-03-15,100165.0
2018-03-16,100165.0
2018-03-19,100165.0
2018-03-20,100155.0
2018-03-21,100155.0
2018-03-22,100200.0
2018-03-23,100305.0
2018-03-26,100305.0
2018-03-27,100305.0
2018-03-28,100315.0
2018-03-29,100315.0
2018-03-30,100340.0
2018-04-02,100340.0
2018-04-03,100415.0
2018-04-04,100495.0
2018-04-05,100525.0
2018-04-06,100575.0
2018-04-09,100575.0
2018-04-10,100630.0
2018-04-11,100550.0
2018-04-12,100585.0
2018-04-13,100595.0
2018-04-16,100580.0
2018-04-17,100540.0
2018-04-18,100490.0
2018-04-19,100490.0
2018-04-20,100490.0
2018-04-23,100465.0
2018-04-24,100465.0
2018-04-25,100380.0
2018-04-26,100415.0
2018-04-27,100520.0
2018-04-30,100530.0
2018-05-02,100520.0
2018-05-03,100520.0
2018-05-04,100395.0
2018-05-08,100385.0
2018-05-09,100385.0
2018-05-10,100445.0
2018-05-11,100445.0
2018-05-14,100435.0
2018-05-15,100360.0
2018-05-16,100335.0
2018-05-17,100490.0
2018-05-18,100600.0
2018-05-21,100655.0
2018-05-23,100655.0
2018-05-24,100715.0
2018-05-25,100725.0
2018-05-28,100650.0
2018-05-29,100720.0
2018-05-30,100735.0
2018-05-31,100805.0
2018-06-01,100805.0
2018-06-04,100785.0
2018-06-05,100785.0
2018-06-07,100245.0
2018-06-08,100210.0
2018-06-11,100255.0
2018-06-12,100260.0
2018-06-14,100260.0
2018-06-15,100300.0
2018-06-18,100345.0
2018-06-19,100395.0
2018-06-20,100405.0
2018-06-21,100475.0
2018-06-22,100490.0
2018-06-25,100490.0
2018-06-26,100545.0
2018-06-27,100550.0
2018-06-28,100600.0
2018-06-29,100640.0
2018-07-02,100645.0
2018-07-03,100645.0
2018-07-04,100650.0
2018-07-05,100750.0
2018-07-06,100750.0
2018-07-09,100750.0
2018-07-10,100750.0
2018-07-11,100825.0
2018-07-12,100825.0
2018-07-13,100815.0
2018-07-16,100815.0
2018-07-17,100815.0
2018-07-18,100815.0
2018-07-19,100800.0
2018-07-20,100840.0
2018-07-23,100850.0
2018-07-24,100850.0
2018-07-25,100850.0
2018-07-26,100870.0
2018-07-27,100845.0
2018-07-30,100770.0
2018-07-31,100825.0
2018-08-01,100825.0
2018-08-02,100835.0
2018-08-03,100855.0
2018-08-06,100885.0
2018-08-07,100925.0
2018-08-08,100950.0
2018-08-09,100980.0
2018-08-10,101020.0
2018-08-13,101090.0
2018-08-14,101080.0
2018-08-16,101080.0
2018-08-17,101170.0
2018-08-20,101205.0
2018-08-21,101310.0
2018-08-22,101300.0
2018-08-23,101315.0
2018-08-24,101315.0
2018-08-27,101380.0
2018-08-28,101300.0
2018-08-29,101345.0
2018-08-30,101345.0
2018-08-31,101355.0
2018-09-03,101470.0
2018-09-04,101500.0
2018-09-05,101505.0
2018-09-06,101385.0
2018-09-07,101365.0
2018-09-10,101350.0
2018-09-11,100530.0
2018-09-12,100555.0
2018-09-13,100555.0
2018-09-14,100475.0
2018-09-17,100475.0
2018-09-18,100445.0
2018-09-19,100425.0
2018-09-20,100345.0
2018-09-21,100325.0
2018-09-27,100385.0
2018-09-28,100415.0
2018-10-01,100415.0
2018-10-02,100415.0
