Date,KOSEF 통안채1년
2018-07-30,101730.0
2018-07-31,101740.0
2018-08-01,101755.0
2018-08-02,101750.0
2018-08-03,101780.0
2018-08-06,101800.0
2018-08-07,101860.0
2018-08-08,101800.0
2018-08-09,101825.0
2018-08-10,101835.0
2018-08-13,101860.0
2018-08-14,101835.0
2018-08-16,101870.0
2018-08-17,101880.0
2018-08-20,101875.0
2018-08-21,101935.0
2018-08-22,101935.0
2018-08-23,101965.0
2018-08-24,101970.0
2018-08-27,101970.0
2018-08-28,101980.0
2018-08-29,101980.0
2018-08-30,101960.0
2018-08-31,101980.0
2018-09-03,102020.0
2018-09-04,102035.0
2018-09-05,102025.0
2018-09-06,102045.0
2018-09-07,102030.0
2018-09-10,102025.0
2018-09-11,102025.0
2018-09-12,102035.0
2018-09-13,102045.0
2018-09-14,102035.0
2018-09-17,102020.0
2018-09-18,102015.0
2018-09-19,102010.0
2018-09-20,102030.0
2018-09-21,102015.0
2018-09-27,102025.0
2018-09-28,102040.0
