Date,KODEX 구리선물(H)
2018-03-09,6330.0
2018-03-12,6450.0
2018-03-13,6430.0
2018-03-14,6490.0
2018-03-15,6460.0
2018-03-16,6455.0
2018-03-19,6355.0
2018-03-20,6360.0
2018-03-21,6265.0
2018-03-22,6310.0
2018-03-23,6200.0
2018-03-26,6110.0
2018-03-27,6205.0
2018-03-28,6160.0
2018-03-29,6235.0
2018-03-30,6260.0
2018-04-02,6285.0
2018-04-03,6295.0
2018-04-04,6285.0
2018-04-05,6240.0
2018-04-06,6250.0
2018-04-09,6280.0
2018-04-10,6370.0
2018-04-11,6395.0
2018-04-12,6355.0
2018-04-13,6310.0
2018-04-16,6320.0
2018-04-17,6380.0
2018-04-18,6425.0
2018-04-19,6545.0
2018-04-20,6435.0
2018-04-23,6470.0
2018-04-24,6415.0
2018-04-25,6415.0
2018-04-26,6405.0
2018-04-27,6415.0
2018-04-30,6300.0
2018-05-02,6280.0
2018-05-03,6270.0
2018-05-04,6315.0
2018-05-08,6295.0
2018-05-09,6250.0
2018-05-10,6255.0
2018-05-11,6360.0
2018-05-14,6385.0
2018-05-15,6305.0
2018-05-16,6275.0
2018-05-17,6295.0
2018-05-18,6280.0
2018-05-21,6300.0
2018-05-23,6380.0
2018-05-24,6300.0
2018-05-25,6325.0
2018-05-28,6320.0
2018-05-29,6320.0
2018-05-30,6205.0
2018-05-31,6280.0
2018-06-01,6270.0
2018-06-04,6310.0
2018-06-05,6400.0
2018-06-07,6680.0
2018-06-08,6625.0
2018-06-11,6685.0
2018-06-12,6650.0
2018-06-14,6595.0
2018-06-15,6535.0
2018-06-18,6390.0
2018-06-19,6300.0
2018-06-20,6280.0
2018-06-21,6210.0
2018-06-22,6215.0
2018-06-25,6195.0
2018-06-26,6115.0
2018-06-27,6070.0
2018-06-28,6075.0
2018-06-29,6080.0
2018-07-02,5980.0
2018-07-03,5965.0
2018-07-04,5920.0
2018-07-05,5785.0
2018-07-06,5735.0
2018-07-09,5840.0
2018-07-10,5805.0
2018-07-11,5550.0
2018-07-12,5650.0
2018-07-13,5615.0
2018-07-16,5600.0
2018-07-17,5655.0
2018-07-18,5525.0
2018-07-19,5550.0
2018-07-20,5530.0
2018-07-23,5580.0
2018-07-24,5600.0
2018-07-25,5700.0
2018-07-26,5730.0
2018-07-27,5700.0
2018-07-30,5625.0
2018-07-31,5675.0
2018-08-01,5680.0
2018-08-02,5545.0
2018-08-03,5525.0
2018-08-06,5565.0
2018-08-07,5590.0
2018-08-08,5605.0
2018-08-09,5655.0
2018-08-10,5555.0
2018-08-13,5540.0
2018-08-14,5555.0
2018-08-16,5260.0
2018-08-17,5290.0
2018-08-20,5360.0
2018-08-21,5440.0
2018-08-22,5380.0
2018-08-23,5330.0
2018-08-24,5385.0
2018-08-27,5490.0
2018-08-28,5460.0
2018-08-29,5495.0
2018-08-30,5460.0
2018-08-31,5425.0
2018-09-03,5425.0
2018-09-04,5320.0
2018-09-05,5240.0
2018-09-06,5245.0
2018-09-07,5275.0
2018-09-10,5250.0
2018-09-11,5310.0
2018-09-12,5260.0
2018-09-13,5385.0
2018-09-14,5400.0
2018-09-17,5275.0
2018-09-18,5370.0
2018-09-19,5490.0
2018-09-20,5465.0
2018-09-21,5570.0
2018-09-27,5635.0
2018-09-28,5585.0
