Date,close,adj_close
2010.4.19,827000,16540
2010.4.20,828000,16560
2010.4.21,852000,17040
2010.4.22,841000,16820
2010.4.23,830000,16600
2010.4.26,834000,16680
2010.4.27,835000,16700
2010.4.28,825000,16500
2010.4.29,825000,16500
2010.4.30,849000,16980
2010.5.3,829000,16580
2010.5.4,834000,16680
2010.5.6,814000,16280
2010.5.7,794000,15880
2010.5.10,803000,16060
2010.5.11,791000,15820
2010.5.12,789000,15780
2010.5.13,813000,16260
2010.5.14,810000,16200
2010.5.17,784000,15680
2010.5.18,792000,15840
2010.5.19,773000,15460
2010.5.20,756000,15120
2010.5.24,758000,15160
2010.5.25,741000,14820
2010.5.26,750000,15000
2010.5.27,772000,15440
2010.5.28,778000,15560
2010.5.31,776000,15520
2010.6.1,768000,15360
2010.6.3,777000,15540
2010.6.4,793000,15860
2010.6.7,787000,15740
2010.6.8,785000,15700
2010.6.9,770000,15400
2010.6.10,773000,15460
2010.6.11,797000,15940
